,Tweets
82,"Kembali berlaga di kandang, maksimalkan perjuangan untuk kembali menang! Hadapi Persikabo, PSIS menang 1-0 pada due… https://t.co/OssO20d1uU"
83,"Kembali ke rumah untuk berjuang demi poin penuh. Jangan biarkan mereka ambil, pasti kita menang, Laskar Mahesa Jena… https://t.co/eUhgc3XfIE"
84,"Selamat pagi! 🙌🏼
Fokus kami ke laga vs Persikabo🔜

#PSIS https://t.co/MgkcYr5yJX"
85,Alfeandra Dewangga catat nama di Best XI Pekan ke-8 BRI Liga 1 2022/23 sekigus dinobatkan menjadi Best Young Player… https://t.co/Fu7d4lMjx2
86,"🎟Tiket offline via ticket box tersedia lur! 

Silakan menuju lokasi ticket box di bawah ini untuk dapatkan tiket pe… https://t.co/fGnO9BBgcK"
87,"🎟Tiket PSIS Semarang vs Persikabo 1973 tersedia! Tiket online via tiketcom tersedia barat dan timur, tiket utara da… https://t.co/osfnSXtpnD"
88,"🎬Dibalik layar perjuangan PSIS Semarang di Stadion Manahan kontra Persis Solo

✅Tonton selengkapnya di sini… https://t.co/d4H06O2TG8"
89,Aqsha Saniskara jalankan peran baru sebagai gelandang bertahan dalam laga lawan Persis Solo di matchday lalu. Terus… https://t.co/v8RJdfhmZl
90,"📸 Potret laga lalu, Persis vs PSIS 

#PSIS https://t.co/SzYs0QypLF"
91,"Terimakasih Panser Biru dan Snex yang ikut berjuang pada laga hari ini. Hati-hati di jalan, selamat sampai tujuan.… https://t.co/AQ8u66PU6I"
92,Full time: 0️⃣ - 0️⃣ https://t.co/XT7kHbah7T
93,@Paman43405620 admin e gak main soale mas
94,"Pergantian pemain:

⬆️ Hari Nur
⬇️ Wawan

#PSISDAY"
95,😤😤😤😤
96,"'73 Tendangan spekulasi Jonathan masih melebar.

#PSISDAY"
97,"Pergantian pemain:

⬆️ Delfin
⬇️ Riyan

#PSISDAY"
98,"'64 Taisei hampir membuka keunggulan, sayang tendangannya masih dihalau Riyandi.

#PSISDAY"
99,"Pergantian pemain:
⬆️ Andreas
⬇️ Ofan

#PSISDAY"
100,"'54 Save! Umpan di depan gawang Irfan mampu diamankan Wahyu Rambo. 

#PSISDAY"
101,"Second half underway! ⚽️⚽️

🔴 🆚 🔵

#PSISDAY"
102,"Setengah main. ⚖️

#PSISDAY https://t.co/YFMdnApOEg"
103,"Tambahan waktu tiga menit babak pertama. 

#PSISDAY"
104,"'39 Link-up Wawan menuju Riyan masih tersapu pemain belakang Persis. Menghasilkan tendangan sudut.

#PSISDAY"
105,"'18 Kembali, tendangan bebas melengkung dadi Jonathan ditepis oleh Riyandi.

#PSISDAY"
106,"'12 Tendangan bebas melengkung Jonathan diblok barisan pemain belakang Persis.

#PSISDAY"
107,"Let's do it, Semarang!! Kick-off babak pertama ⚽️⚽️

🔴 🆚 🔵

#PSISDAY"
108,"Kejayaan itu harus diperjuangkan, SEKARANG‼️🔵🔵

#PSISDAY https://t.co/ZbzvKlpiU8"
109,"🔵Team news!

IX | Wahyu Rambo, Ucil, Aqsha, Alie, Frendi©, Dewa, Jonathan, Ofan, Riyan, Taisei, Wawan

SUBS | Redon… https://t.co/sBWxU6S87z"
110,"Long time no see, Manahan Stadium. ✨

#PSISDAY https://t.co/DdzPwrPvzy"
111,Hati-hati di jalan untuk yang akan ikut berjuang mendukung Laskar Mahesa Jenar di laga sore ini. We fight together… https://t.co/DMz5QTQlXc
112,"Kebanggaan yang kembali bertarung untuk bersama-sama meraih kejayaan di hari ini. ⚔️

Dinone PSIS, kita menangkan h… https://t.co/q2YC3G9UTB"
113,#PSISDAY https://t.co/kFenfng0qE
114,"🔵Team News, pre-match press conference

https://t.co/LhAXH993GV 

#PSIS"
115,"𝐓𝐡𝐞 𝐜𝐥𝐚𝐬𝐬𝐢𝐜 𝐦𝐚𝐭𝐜𝐡 𝐚𝐰𝐚𝐢𝐭𝐬 𝐭𝐨𝐦𝐨𝐫𝐫𝐨𝐰.

Persiapkan yang terbaik hari ini, berjuang sampai dapatkan tujuan. Ayo berikan… https://t.co/rtMYGmjc6g"
116,"Terimakasih dukungan DPP Panser Biru, Snex, dan seluruh yang hadir untuk berikan semangat dan suntikan moril pemain… https://t.co/6fO93e7sAb"
117,"Travel squad to Solo✈️

#PSIS https://t.co/BGW1aJ1MgL"
118,"🔵Penjelasan mengenai cedera Wahyu Prast dan Eka Febri 

📰 https://t.co/LqPqsUyU2b

#PSIS https://t.co/vRYjiAy0cv"
119,"Very warm welcome, Yos Sonneveld! 🔵
Eks Arsenal dan Glasgow Celtic e-Sport ini akan memperkuat Tim e-Sport PSIS Sem… https://t.co/OqXc86lHOh"
120,"Jadi lebih baik setiap harinya. 💪🏼

#PSIS https://t.co/47ULEKDeW4"
121,"🔵 Penjelasan mengenai cedera Carlos Fortes

⬇️⬇️
https://t.co/QqKevdSiHM"
122,"Hari yang berat di Tangerang. Mohon maaf atas hasil minor ini. 😩

#PSISDAY https://t.co/hOyR8STcb6"
123,"Tambahan waktu 5 menit.

#PSISDAY"
124,"'75 Kesempatan melalui Tibo, sayang umpan menuju Wawan masih terlalu dalam mampu diamankan kiper Dewa United.

#PSISDAY"
125,"'70 Pergantian pemain:

⬆️ Hari Nur, Tibo
⬇️ Frendi, Andreas 

#PSISDAY"
126,"Sundulan Wawan umpan dari Ucil melewati garis gawang sempat natap pal. SAMAKAN, MENANGKAN!! 

#PSISDAY"
127,"'59 GOL! Memperkecil ketinggalan lewat sundulan 2-1! AYOOO BANGKIT!!!

#PSISDAY"
128,"'57 Piye to kih... 2-0

#PSISDAY"
129,"'55 Pergantian pemain:

⬆️ Delfin, Ofan
⬇️ Guntur, Rachmad 

#PSISDAY"
130,"Kick-off babak kedua. C'MON SEMARANG!! 🔵⚪️

#PSISDAY"
131,"Setengah main.

#PSISDAY https://t.co/ENgeWlMgcs"
132,"Tambahan waktu 2 menit babak pertama.

#PSISDAY"
